Distance function;Image size;Instance class;Instance;Optimal objective function value;Solution time [ms];IIO time [ms];Matryoshka time [ms];IIO step 2 basis changes;IIO iterations
OF1;512;ClassicImages;04-01;695559580023275;29402942;28430576;972366;4220952;17270
OF1;512;ClassicImages;04-02;363238715872057;45717670;44322213;1395457;3791743;24594
OF1;512;ClassicImages;04-05;443756360921722;30297629;29027784;1269845;3723474;16887
OF1;512;ClassicImages;04-06;663048399187689;34899884;33995725;904159;4371511;18174
OF1;512;ClassicImages;04-07;620009953155451;39633151;38216138;1417013;4124410;22300
OF1;512;ClassicImages;04-09;1177612595481873;62855483;60953456;1902027;4548775;26486
OF1;512;ClassicImages;04-10;915157089800642;57586304;56221308;1364996;4669312;31082
OF1;512;ClassicImages;05-06;562340967743942;30447456;29602927;844529;4109808;16697
OF1;512;ClassicImages;05-07;427233141710094;59063536;57824650;1238886;3677996;17502
OF1;512;ClassicImages;05-09;976730973975922;53270945;51477794;1793151;4264684;23098
OF1;512;ClassicImages;07-06;540671595184199;22964985;22333061;631924;4060589;18103
OF1;512;ClassicImages;08-01;762194140155212;35346427;34323491;1022936;4323283;30384
OF1;512;ClassicImages;08-02;480677408666509;48928610;47624202;1304408;4075819;25371
OF1;512;ClassicImages;08-03;662152148066494;34179699;32922220;1257479;4047228;21807
OF1;512;ClassicImages;08-04;455610310686717;30245250;29203169;1042081;3686913;15012
OF1;512;ClassicImages;08-05;576714123020203;32462135;31173340;1288795;3893374;17429
OF1;512;ClassicImages;08-06;641293333545305;46225604;45161932;1063672;4313697;16667
OF1;512;ClassicImages;08-07;609023830334582;37531801;35998935;1532866;3987211;21302
OF1;512;ClassicImages;08-09;1370846707546507;64603802;62349037;2254765;5154880;25259
OF1;512;ClassicImages;08-10;775560284208438;58936832;57103710;1833122;4369356;28772
OF1;512;ClassicImages;09-06;1033258862477668;56409306;54943291;1466015;5433047;30722
OF1;512;ClassicImages;09-07;937590438041905;65588942;63968897;1620045;4423355;20334
OF1;512;ClassicImages;10-01;1188231462191354;45637478;44481157;1156321;4993853;32351
OF1;512;ClassicImages;10-02;703012602877851;34338016;32752665;1585351;4270737;19754
OF1;512;ClassicImages;10-05;890539926177556;38151584;36918605;1232979;4697290;21785
OF1;512;ClassicImages;10-06;695606590510474;52246993;50670449;1576544;4292331;22388
OF1;512;ClassicImages;10-07;768181226315849;50279629;49204496;1075133;4773186;34939
OF1;512;ClassicImages;10-09;1511858397038490;72402103;70604775;1797328;5954248;39028
OF1;512;GRFmoderate;01-05;679723794279430;59839317;57961372;1877945;4382804;27029
OF1;512;GRFmoderate;01-06;599375580552526;88809450;86925947;1883503;4408448;33937
OF1;512;GRFmoderate;01-07;613431061791797;36098041;34731338;1366703;4460889;18821
OF1;512;GRFmoderate;01-09;623098562025095;33888507;32804269;1084238;4308261;23763
OF1;512;GRFmoderate;02-01;1046543835678737;63226958;61835790;1391168;4876238;25780
OF1;512;GRFmoderate;02-05;793683245013276;63235314;61712039;1523275;4422716;27900
OF1;512;GRFmoderate;02-06;894926153236520;57794962;56161615;1633347;4660762;24921
OF1;512;GRFmoderate;02-07;848461367403359;41612301;40440120;1172181;4935746;29037
OF1;512;GRFmoderate;02-09;915635127588087;145064413;143242652;1821761;4871738;51812
OF1;512;GRFmoderate;03-01;601137467746967;30837884;29750903;1086981;4334471;20485
OF1;512;GRFmoderate;03-02;1043411554744032;63932732;62029127;1903605;4900755;33230
OF1;512;GRFmoderate;03-04;520971424273531;60054182;58427212;1626970;4174217;29286
OF1;512;GRFmoderate;03-05;637986129934588;38594628;37357945;1236683;4195869;18578
OF1;512;GRFmoderate;03-06;682610696118531;63050264;61733248;1317016;4473630;26284
OF1;512;GRFmoderate;03-07;582575819822279;42679241;41504486;1174755;4140863;19571
OF1;512;GRFmoderate;03-09;636276220651462;34910901;33947806;963095;4267914;21006
OF1;512;GRFmoderate;03-10;555845605002389;42901615;41947474;954141;4187813;22102
OF1;512;GRFmoderate;04-01;672628431077751;46491700;44901822;1589878;4757280;28713
OF1;512;GRFmoderate;04-02;861327825345776;43369740;41598156;1771584;4834886;29115
OF1;512;GRFmoderate;04-05;654460508039126;46995997;45543950;1452047;4300595;23577
OF1;512;GRFmoderate;04-06;603401042418700;46931959;45621418;1310541;4615276;18114
OF1;512;GRFmoderate;04-07;484731418252818;42226144;39991955;2234189;4020922;16128
OF1;512;GRFmoderate;04-09;749482496183474;84345846;82116882;2228964;4523012;29078
OF1;512;GRFmoderate;04-10;411581435887160;42667092;41590952;1076140;4082765;20908
OF1;512;GRFmoderate;05-06;408791575542723;40088115;38649564;1438551;3850475;21816
OF1;512;GRFmoderate;05-07;426289495561927;110643232;109450081;1193151;3930728;34902
OF1;512;GRFmoderate;05-09;487954942776537;41187824;39991634;1196190;4025841;20392
OF1;512;GRFmoderate;07-06;514262715488708;48352919;46973383;1379536;4186162;22355
OF1;512;GRFmoderate;08-01;426854457226030;40367745;39325812;1041933;4125557;25927
OF1;512;GRFmoderate;08-02;770786996206944;56534875;54573796;1961079;4735926;29893
OF1;512;GRFmoderate;08-03;523249678947782;26687167;25352819;1334348;4205553;22869
OF1;512;GRFmoderate;08-04;501200696748487;44835515;43007999;1827516;4149202;18519
