Distance function,Image size,Instance class,Instance,Optimal objective function value,Solution time [ms],NWC time [ms],IIO step 2 basis changes,IIO iterations
OF1,32,ClassicImages,09-05,238306777814,185,0,17254,196
OF1,32,ClassicImages,09-08,334539956114,183,0,19369,165
OF1,32,ClassicImages,09-10,368774950421,246,0,21423,298
OF1,32,ClassicImages,10-08,188604254271,235,0,20950,314
OF1,32,GRFmoderate,01-02,171884032934,231,0,21610,297
OF1,32,GRFmoderate,01-03,254137269163,200,0,21774,179
OF1,32,GRFmoderate,01-04,397444272381,188,0,21471,226
OF1,32,GRFmoderate,01-05,208898838580,195,0,20549,226
OF1,32,GRFmoderate,01-06,300044891664,205,0,20616,265
OF1,32,GRFmoderate,01-07,155551740055,183,0,19851,197
OF1,32,GRFmoderate,01-08,316529636955,179,0,18031,195
OF1,32,GRFmoderate,01-09,134174011948,187,0,19130,215
OF1,32,GRFmoderate,01-10,107233896920,189,0,20475,206
OF1,32,GRFmoderate,02-04,325981113421,211,0,20735,253
OF1,32,GRFmoderate,02-05,150638691845,213,0,19163,266
OF1,32,GRFmoderate,02-06,244688527012,225,0,20413,290
OF1,32,GRFmoderate,02-08,325477006362,181,0,18769,167
OF1,32,GRFmoderate,02-09,153873078087,186,0,19569,216
OF1,32,GRFmoderate,02-10,170753470748,203,0,19496,248
OF1,32,GRFmoderate,03-02,267722401912,240,0,20425,267
OF1,32,GRFmoderate,03-04,280583736087,218,0,21220,281
OF1,32,GRFmoderate,03-05,208185703595,185,0,19429,191
OF1,32,GRFmoderate,03-06,254943574831,196,0,19929,216
OF1,32,GRFmoderate,03-08,154149361037,196,0,18179,222
OF1,32,GRFmoderate,03-09,192693908572,210,0,19820,273
OF1,32,GRFmoderate,03-10,216030442258,197,0,19470,217
OF1,32,GRFmoderate,04-05,236669935459,211,0,21435,246
OF1,32,GRFmoderate,04-08,339522701620,205,0,21017,247
OF1,32,GRFmoderate,04-10,359731361865,215,0,21925,275
OF1,32,GRFmoderate,05-08,262152343211,183,0,19244,196
OF1,32,GRFmoderate,05-10,171525657539,189,0,20013,210
OF1,32,GRFmoderate,06-04,230276167495,194,0,20019,204
OF1,32,GRFmoderate,06-05,154397961704,189,0,18605,227
OF1,32,GRFmoderate,06-08,292945246854,215,0,19004,259
OF1,32,GRFmoderate,06-09,246346533831,205,0,21502,264
OF1,32,GRFmoderate,06-10,250099458025,180,0,20482,186
OF1,32,GRFmoderate,07-02,168009897603,239,0,20037,308
OF1,32,GRFmoderate,07-03,229427385046,245,0,21700,348
OF1,32,GRFmoderate,07-04,334258742984,191,0,20346,242
OF1,32,GRFmoderate,07-05,145181817423,198,0,20240,262
OF1,32,GRFmoderate,07-06,234507242307,204,0,19797,246
OF1,32,GRFmoderate,07-08,272644297616,176,0,19072,173
OF1,32,GRFmoderate,07-09,90005282514,196,0,19496,212
OF1,32,GRFmoderate,07-10,117818443682,200,0,20300,207
OF1,32,GRFmoderate,09-04,341989833467,211,0,21221,299
OF1,32,GRFmoderate,09-05,154172038880,214,0,19751,347
OF1,32,GRFmoderate,09-08,242059357581,184,0,17629,209
OF1,32,GRFmoderate,09-10,119607437543,313,0,22567,453
OF1,32,GRFmoderate,10-08,289836957462,201,0,20739,248
OF1,32,GRFrough,01-02,91874958702,255,0,20062,320
OF1,32,GRFrough,01-03,73997641939,216,0,18861,247
OF1,32,GRFrough,01-04,102019968685,193,0,18682,194
OF1,32,GRFrough,01-05,69717519334,209,0,19981,205
OF1,32,GRFrough,01-06,88417059005,212,0,19922,223
OF1,32,GRFrough,01-07,66227051752,186,0,16005,207
OF1,32,GRFrough,01-08,69543249664,204,0,17525,244
OF1,32,GRFrough,01-09,57431343430,187,0,16641,205
OF1,32,GRFrough,01-10,70956548247,182,0,18780,169
OF1,32,GRFrough,02-04,102019437359,200,0,19558,209
OF1,32,GRFrough,02-05,60895475073,204,0,19122,212
OF1,32,GRFrough,02-06,101421742248,250,0,22783,278
OF1,32,GRFrough,02-08,87302901898,220,0,19435,277
OF1,32,GRFrough,02-09,70479296476,199,0,20227,207
OF1,32,GRFrough,02-10,68012573674,207,0,17392,224
OF1,32,GRFrough,03-02,106692794066,183,0,17959,218
OF1,32,GRFrough,03-04,97522873946,191,0,19033,226
OF1,32,GRFrough,03-05,93502854974,166,0,16762,175
OF1,32,GRFrough,03-06,69957958560,238,0,20704,273
OF1,32,GRFrough,03-08,82953436822,189,0,18276,216
OF1,32,GRFrough,03-09,89396995090,193,0,18056,218
OF1,32,GRFrough,03-10,80399205009,212,0,20260,234
OF1,32,GRFrough,04-05,117013224733,215,0,20299,230
OF1,32,GRFrough,04-08,120093767029,245,0,19723,348
OF1,32,GRFrough,04-10,103855355899,207,0,20491,222
OF1,32,GRFrough,05-08,65112749053,210,0,20442,220
OF1,32,GRFrough,05-10,51369462907,198,0,17527,200
OF1,32,GRFrough,06-04,89541097642,213,0,20600,244
OF1,32,GRFrough,06-05,95863430317,201,0,18168,210
OF1,32,GRFrough,06-08,100921363350,206,0,19625,190
OF1,32,GRFrough,06-09,91692251060,200,0,18556,194
OF1,32,GRFrough,06-10,77963054707,230,0,21322,247
OF1,32,GRFrough,07-02,103789178098,202,0,19681,232
OF1,32,GRFrough,07-03,68589190116,222,0,20014,208
OF1,32,GRFrough,07-04,114494924773,209,0,20756,231
OF1,32,GRFrough,07-05,80074011412,222,0,20627,244
OF1,32,GRFrough,07-06,92921525873,203,0,17545,257
OF1,32,GRFrough,07-08,59703616002,209,0,19407,210
OF1,32,GRFrough,07-09,67051090360,249,0,20940,283
OF1,32,GRFrough,07-10,89462578404,180,0,20459,202
OF1,32,GRFrough,09-04,112261067558,169,0,17445,160
OF1,32,GRFrough,09-05,54093876172,202,0,17638,218
